Store Name,EAN/PLU,Root Article Code,LU,LV,SV Code,Description,Must Stock,Delisted,Store Selling Price,Cost Price,Vat,Case Qty,Margin %,DRS,Supplier,Article Linking
241 - RIALTO - O'LEARY,5906881427729,1745344,PCK,1,1,DISNEY MEGA SURPRISE CORNET FROZEN 25GRM,N,,4.09,2.60,23.00%,1,21.81%,N,610 - ROSE CONFECTIONERY CO LTD - 1CB_EURY,
241 - RIALTO - O'LEARY,984103,1745344,PCK,2,2,DISNEY MEGA SURPRISE CORNET DISPLAY 25GRM,N,,4.07,46.83,23.00%,18,21.37%,N,610 - ROSE CONFECTIONERY CO LTD - 1CB_EURY,
241 - RIALTO - O'LEARY,5906881427743,1745344,PCK,3,3,DISNEY MEGA SURPRISE CORNET MICKEY 25GRM,N,,4.09,2.60,23.00%,1,21.81%,N,610 - ROSE CONFECTIONERY CO LTD - 1CB_EURY,
241 - RIALTO - O'LEARY,5901986038566,1745344,PCK,4,4,DISNEY MEGA SURPRISE CORNET MINIONS 25GRM,N,,4.09,2.60,23.00%,1,21.81%,N,610 - ROSE CONFECTIONERY CO LTD - 1CB_EURY,
241 - RIALTO - O'LEARY,5031396040351,1759537,PCK,1,0,CCF SPORTZ FLICKERZ 11GRM,N,,3.00,22.64,23.00%,12,22.65%,N,DELIST - DELISTED MRPI - 1AMBIENT,*
241 - RIALTO - O'LEARY,8714189100094,1769010,PCK,0,0,FRISIA ROCKET BALLS,N,,0.80,16.26,23.00%,50,50.00%,N,LAS - LOCAL STORE AMBIENT - 1LOC_SUP,
241 - RIALTO - O'LEARY,8714189100117,1769017,PCK,0,0,FRISIA ROCKET BALLS,N,,0.80,16.26,23.00%,50,50.00%,N,LAS - LOCAL STORE AMBIENT - 1LOC_SUP,
241 - RIALTO - O'LEARY,6970738800521,1774033,PCK,0,0,LOLLIPOP GEL CANDY,N,,2.25,1.04,23.00%,1,43.15%,N,LAS - LOCAL STORE AMBIENT - 1LOC_SUP,
241 - RIALTO - O'LEARY,5901986039174,1775883,PCK,0,0,MINIONS CANDY FLOSS TUB 20GRM,Y,,1.90,7.80,23.00%,12,57.92%,N,LAS - LOCAL STORE AMBIENT - 1LOC_SUP,
241 - RIALTO - O'LEARY,5901986031390,1775883,PCK,1,1,PAW PATROL CANDY FLOSS TUB 20GRM,N,,1.90,12.77,23.00%,12,31.11%,N,610 - ROSE CONFECTIONERY CO LTD - 1CB_EURY,
241 - RIALTO - O'LEARY,5901986031475,1775884,PCK,2,1,MINIONS SWEET WAFER PAPER 8GRM,N,,1.25,35.78,23.00%,50,29.58%,N,610 - ROSE CONFECTIONERY CO LTD - 1CB_EURY,
241 - RIALTO - O'LEARY,5056192406392,1777017,PCK,0,0,SLUSH PUPPIE SQUEEZEE CANDY 60GRM,N,,1.95,13.10,23.00%,12,31.14%,N,610 - ROSE CONFECTIONERY CO LTD - 1CB_EURY,
241 - RIALTO - O'LEARY,5056192409737,1777019,PCK,0,0,SLUSH PUPPIE SUPER CANDY SPRAY 80MLS,Y,,1.95,13.10,23.00%,12,31.14%,N,610 - ROSE CONFECTIONERY CO LTD - 1CB_EURY,*
241 - RIALTO - O'LEARY,5904310231527,1777763,PCK,0,0,JOHNNY BEE LAMP SRAY,N,,2.25,0.97,23.00%,1,46.97%,N,BTG - BOTANIC MARKETING LTD - 1LOC_SUP,
241 - RIALTO - O'LEARY,5056192406491,1784287,PCK,0,0,SLUSH PUPPIES CHEWBIES BAR 25GRM,N,,0.45,10.74,23.00%,50,41.29%,N,610 - ROSE CONFECTIONERY CO LTD - 1CB_EURY,
241 - RIALTO - O'LEARY,5906881427149,1784558,PCK,0,0,DISNEY SURPRISE CAPSULE,N,,1.60,0.82,23.00%,1,36.96%,N,610 - ROSE CONFECTIONERY CO LTD - 1LOC_SUP,
241 - RIALTO - O'LEARY,5060072652243,1788380,PCK,5,3,CHEWITS BLUE RASPBERRY BITES BAG 115GRM,N,,3.10,21.00,23.00%,12,30.56%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
