Store Name,Department,Sub Department,Commodity Code,Family Group,EAN/PLU,Root Article Code,LU,LV,SV Code,Description,Size,Must Stock,Delisted,Store Selling Price,Cost Price,Vat,Case Qty,Margin %,DRS,Supplier,Article Linking
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0006 - TAKE HOME CONFECTIONERY,C0029 - BOXED CONFECTIONERY,F0131 - BOXED CHOCOLATE,7622202275210,1612353,PCK,2,2,CADBURY FREDDO FRIENDS POUCH,270GRM,N,,6.50,39.20,23.00%,8,7.28%,N,AUTODROP - AUTODROP MRPI - 1AMBIENT,1612353-003
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0006 - TAKE HOME CONFECTIONERY,C0029 - BOXED CONFECTIONERY,F0131 - BOXED CHOCOLATE,7622202822766,1612353,PCK,3,3,CADBURY FREDDO AND FRIENDS POUCH,249GRM,N,,6.50,39.20,23.00%,8,7.28%,N,AUTODROP - AUTODROP MRPI - 1AMBIENT,
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0006 - TAKE HOME CONFECTIONERY,C0029 - BOXED CONFECTIONERY,F0131 - BOXED CHOCOLATE,5392000123700,1625221,PCK,0,0,CAROLS LARGE LUXURY CARAMEL BOX,210 GRM,N,,15.00,112.35,23.00%,12,23.23%,N,AUTODROP - AUTODROP MRPI - 1AMBIENT,
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0006 - TAKE HOME CONFECTIONERY,C0029 - BOXED CONFECTIONERY,F0131 - BOXED CHOCOLATE,5392000123748,1625221,PCK,1,1,CAROLS DOUBLE CHOCOLATE MILK TRUFFL,170GRM,N,,15.00,112.35,23.00%,12,23.23%,N,AUTODROP - AUTODROP MRPI - 1AMBIENT,
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0006 - TAKE HOME CONFECTIONERY,C0029 - BOXED CONFECTIONERY,F0131 - BOXED CHOCOLATE,5099872016917,1656787,PCK,6,0,LIR MARC DE CHAMPAGNE TRUFFLE BOX,145GRM,Y,,5.30,23.37,23.00%,8,32.20%,N,AWL - ALLEGRO LTD (CB) - 1CB_EURY,*
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0006 - TAKE HOME CONFECTIONERY,C0029 - BOXED CONFECTIONERY,F0131 - BOXED CHOCOLATE,5099872016931,1656787,PCK,4,1,LIR SALTED CARAMEL TRUFFLE BOX,145GRM,Y,,6.00,28.05,23.00%,8,28.12%,N,AUTODROP - AUTODROP MRPI - 1AMBIENT,*
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0006 - TAKE HOME CONFECTIONERY,C0029 - BOXED CONFECTIONERY,F0131 - BOXED CHOCOLATE,5099872016955,1656787,PCK,3,2,LIR ALMOND & HAZELNUT TRUFFLE BOX,120GRM,Y,,5.30,23.37,23.00%,8,32.20%,N,AUTODROP - AUTODROP MRPI - 1AMBIENT,*
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0006 - TAKE HOME CONFECTIONERY,C0029 - BOXED CONFECTIONERY,F0131 - BOXED CHOCOLATE,5099872017280,1673801,PCK,0,0,BAILEYS STRAWBERRY & CREAM HEARTS,90GRM,N,,7.00,36.68,23.00%,8,19.43%,N,AUTODROP - AUTODROP MRPI - 1AMBIENT,
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0006 - TAKE HOME CONFECTIONERY,C0029 - BOXED CONFECTIONERY,F0131 - BOXED CHOCOLATE,988401,1701977,PCK,5,3,BUTLERS THE CHOCOLATE GOLD BOX HOD,240GRM,N,,10.00,289.00,23.00%,45,21.01%,N,AUTODROP - AUTODROP MRPI - 1AMBIENT,
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0006 - TAKE HOME CONFECTIONERY,C0029 - BOXED CONFECTIONERY,F0131 - BOXED CHOCOLATE,5099466163133,1701977,PCK,6,4,BUTLERS THE CHOCOLATE GOLD BOX,240GRM,N,,10.00,57.80,23.00%,9,21.01%,N,AUTODROP - AUTODROP MRPI - 1AMBIENT,
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0006 - TAKE HOME CONFECTIONERY,C0029 - BOXED CONFECTIONERY,F0131 - BOXED CHOCOLATE,5099466163126,1701977,PCK,7,5,BUTLERS THE CHOCOLATE BOX RED,240GRM,N,,10.00,57.80,23.00%,9,21.01%,N,AUTODROP - AUTODROP MRPI - 1AMBIENT,
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0006 - TAKE HOME CONFECTIONERY,C0029 - BOXED CONFECTIONERY,F0131 - BOXED CHOCOLATE,989159,1701977,PCK,8,6,BUTLERS CHOCOLATES RED BOX HOD,240GRM,N,,10.00,289.00,23.00%,45,21.01%,N,AUTODROP - AUTODROP MRPI - 1AMBIENT,
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0006 - TAKE HOME CONFECTIONERY,C0029 - BOXED CONFECTIONERY,F0131 - BOXED CHOCOLATE,987845,1703135,PCK,2,2,DAIRY BOX CHRISTMAS COLLECTION FSDU,385GRM,N,,9.00,990.00,23.00%,160,15.44%,N,AUTODROP - AUTODROP MRPI - 1AMBIENT,
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0006 - TAKE HOME CONFECTIONERY,C0029 - BOXED CONFECTIONERY,F0131 - BOXED CHOCOLATE,984310,1759201,PCK,0,0,BUTLERS MILK CHOCOLATE TRUFFLES TWI,300GRM,N,,10.00,307.98,23.00%,48,21.08%,N,AUTODROP - AUTODROP MRPI - 1AMBIENT,
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0006 - TAKE HOME CONFECTIONERY,C0029 - BOXED CONFECTIONERY,F0131 - BOXED CHOCOLATE,4014400931686,1759390,PCK,0,0,BENDICKS MINT FONDANT,180GRM,N,,6.00,30.72,23.00%,8,21.28%,N,AUTODROP - AUTODROP MRPI - 1AMBIENT,
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0006 - TAKE HOME CONFECTIONERY,C0029 - BOXED CONFECTIONERY,F0131 - BOXED CHOCOLATE,5099872018133,1759485,PCK,2,2,BAILEYS GIFT WRAP BOX,272GRM,Y,,14.00,66.00,23.00%,8,27.52%,N,AUTODROP - AUTODROP MRPI - 1AMBIENT,*
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0006 - TAKE HOME CONFECTIONERY,C0029 - BOXED CONFECTIONERY,F0131 - BOXED CHOCOLATE,5390394018107,1759658,PCK,1,1,LILY OBRIENS LUXURY COLLECTION,270GRM,N,,15.00,58.62,23.00%,6,19.89%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0006 - TAKE HOME CONFECTIONERY,C0029 - BOXED CONFECTIONERY,F0131 - BOXED CHOCOLATE,5390394018688,1759658,PCK,2,2,LILY OBRIEN LUXURY COLLECTION BOX,137GRM,N,,8.00,41.73,23.00%,8,19.80%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0006 - TAKE HOME CONFECTIONERY,C0029 - BOXED CONFECTIONERY,F0131 - BOXED CHOCOLATE,989156,1759658,PCK,3,3,LILY OBRIEN LUXURY COLLECTION BOX,137GRM,N,,8.00,208.65,23.00%,40,19.80%,N,AUTODROP - AUTODROP MRPI - 1AMBIENT,
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0006 - TAKE HOME CONFECTIONERY,C0029 - BOXED CONFECTIONERY,F0131 - BOXED CHOCOLATE,5392000123786,1759681,PCK,0,0,CAROL'S DARK CHOCOLATE SELECTION,235GRM,N,,21.00,158.09,23.00%,12,22.84%,N,AUTODROP - AUTODROP MRPI - 1AMBIENT,
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0006 - TAKE HOME CONFECTIONERY,C0029 - BOXED CONFECTIONERY,F0131 - BOXED CHOCOLATE,5099872017877,1759705,PCK,0,0,LOVELY BY LIR CHOCOLATES,110GRM,Y,,7.00,42.93,23.00%,10,24.57%,N,AWL - ALLEGRO LTD (CB) - 1CB_EURY,*
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0006 - TAKE HOME CONFECTIONERY,C0029 - BOXED CONFECTIONERY,F0131 - BOXED CHOCOLATE,987859,1762504,PCK,2,2,LINDT MASTER CHOCOLATE COLLECT FSDU,184GRM,N,,11.00,286.00,23.00%,40,20.05%,N,AUTODROP - AUTODROP MRPI - 1AMBIENT,
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0006 - TAKE HOME CONFECTIONERY,C0029 - BOXED CONFECTIONERY,F0131 - BOXED CHOCOLATE,989144,1762504,PCK,3,3,LINDT MASTER CHOC COLLECTION HOD,184GRM,N,,11.00,343.20,23.00%,48,20.05%,N,AUTODROP - AUTODROP MRPI - 1AMBIENT,
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0006 - TAKE HOME CONFECTIONERY,C0029 - BOXED CONFECTIONERY,F0131 - BOXED CHOCOLATE,5390394017452,1812137,PCK,0,0,LILY O'BRIEN'S CHOCOLATE MOUSSE TRU,200GRM,N,,7.50,39.11,23.00%,8,19.82%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0006 - TAKE HOME CONFECTIONERY,C0029 - BOXED CONFECTIONERY,F0131 - BOXED CHOCOLATE,5390394017490,1812137,PCK,1,1,LILY O'BRIEN'S VANILLA TRUFFLES,200GRM,N,,9.50,46.93,23.00%,8,24.05%,N,DELIST - DELISTED MRPI - 1AMBIENT,*
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0006 - TAKE HOME CONFECTIONERY,C0029 - BOXED CONFECTIONERY,F0131 - BOXED CHOCOLATE,5390394017476,1812137,PCK,2,2,LILY O'BRIEN'S SALTED CARAMEL TRUFF,200GRM,N,,7.50,39.11,23.00%,8,19.82%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0006 - TAKE HOME CONFECTIONERY,C0029 - BOXED CONFECTIONERY,F0131 - BOXED CHOCOLATE,982641,1812137,PCK,3,3,LILY O'BRIEN'S DESSERTS TRUFFLES MXD FSDU,200GRM,N,,7.50,351.99,23.00%,72,19.82%,N,AUTODROP - AUTODROP MRPI - 1AMBIENT,
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0006 - TAKE HOME CONFECTIONERY,C0029 - BOXED CONFECTIONERY,F0131 - BOXED CHOCOLATE,5390394018633,1812137,PCK,4,4,LILY O BRIEN ASSORT CHOC TRUFFLES,200GRM,N,,7.50,39.11,23.00%,8,19.82%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0006 - TAKE HOME CONFECTIONERY,C0029 - BOXED CONFECTIONERY,F0131 - BOXED CHOCOLATE,8593893781412,1812390,PCK,0,0,AFTER EIGHT MINT COLLECTION BOX,199GRM,N,,7.50,38.00,23.00%,8,22.10%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0006 - TAKE HOME CONFECTIONERY,C0029 - BOXED CONFECTIONERY,F0131 - BOXED CHOCOLATE,989931,1812390,PCK,1,1,AFTER EIGHT THE COLLECTION BOX HOD,199GRM,N,,7.50,304.00,23.00%,64,22.10%,N,AUTODROP - AUTODROP MRPI - 1AMBIENT,
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0006 - TAKE HOME CONFECTIONERY,C0029 - BOXED CONFECTIONERY,F0131 - BOXED CHOCOLATE,985778,1818457,PCK,0,0,LINDT MIXED FATHERS DAY HOD,208GRM,N,,7.05,429.50,23.00%,94,20.28%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,*
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0006 - TAKE HOME CONFECTIONERY,C0029 - BOXED CONFECTIONERY,F0131 - BOXED CHOCOLATE,5099872018232,1829216,PCK,0,0,BAILEYS STRAWBERRIES & CREAM TRUFFL,205GRM,N,,9.50,40.23,23.00%,6,13.19%,N,AUTODROP - AUTODROP MRPI - 1AMBIENT,
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0006 - TAKE HOME CONFECTIONERY,C0029 - BOXED CONFECTIONERY,F0131 - BOXED CHOCOLATE,5391545426024,1829216,PCK,1,1,LIR BAILEYS SBERY & CREAM TRUFFLES,205GRM,N,,9.50,37.00,23.00%,6,20.16%,N,AUTODROP - AUTODROP MRPI - 1AMBIENT,
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0006 - TAKE HOME CONFECTIONERY,C0029 - BOXED CONFECTIONERY,F0131 - BOXED CHOCOLATE,5099286011379,1863847,PCK,0,0,ROSE QUALITY SWEETS,180GRM,N,,2.80,19.51,23.00%,12,28.58%,N,610 - ROSE CONFECTIONERY CO LTD - 1CB_EURY,
